"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"MM370_24h_BRN2_Con__200071760001_A_",13.4954,-8.44,7.9687,-4.8541,-0.8795,-0.6938,-0.218733225979603,-0.679156114029918
"MM370_24h_BRN2_Dox__200071760001_B_",-8.1765,1.7843,-0.4135,-0.6867,-1.4353,1.0694,0.249597423510467,-1.61336557199428
"MM370_24h_lacZ_Con__200071760001_C_",15.532,-7.3056,8.5745,-2.2193,2.9654,1.4725,0.212828770799785,-0.189903820584373
"MM370_24h_lacZ_Dox__200071760001_D_",15.5407,-7.389,8.1779,-2.6413,2.8859,1.4959,-0.184380032206119,-0.104901938561693
"MM370_48h_BRN2_Con__200071760001_E_",15.143,-8.6144,9.9719,-5.0541,0.262,0.9089,0.221685453569512,-0.441579306731054
"MM370_48h_BRN2_Dox__200071760001_F_",-3.3659,6.9199,0.8731,0.03,2.4918,2.841,0.252818035426731,-2.10543729212262
"MM370_48h_lacZ_Con__200071760001_G_",19.3881,-6.1523,9.2788,-3.8316,2.8573,0.5368,-0.199409554482018,0.322319511134519
"MM370_48h_lacZ_Dox__200071760001_H_",19.5074,-7.694,10.1944,-4.3361,3.1975,1.1417,-0.168813741277509,0.228571732218441
"MM455_24h_BRN2_Con__200071760001_I_",-20.9109,29.9562,-10.2954,11.9849,0.3319,10.0111,0.544820182501342,-8.95271897846788
"MM455_24h_BRN2_Dox__200071760001_J_",-28.4775,23.8117,-11.144,11.834,-1.3842,7.9471,0.469940955448202,-9.10069482534276
"MM455_24h_lacZ_Con__200071760001_K_",-21.0122,30.5939,-10.7152,10.2906,-0.2919,9.4604,0.538110574342458,-8.88435911810858
"MM455_24h_lacZ_Dox__200071760001_L_",-20.4356,27.8616,-10.5985,11.3352,-0.749,9.6963,0.560118089103596,-9.12169102201069
"MM455_48h_BRN2_Con__200071760029_A_",-20.3641,30.5434,-11.0059,10.9695,-0.7859,9.1309,0.541599570585078,-9.27364117313514
"MM455_48h_BRN2_Dox__200071760029_B_",-27.856,26.1986,-11.9043,10.786,-2.2759,7.238,0.46081588835212,-9.12401247281771
"MM455_48h_lacZ_Con__200071760029_C_",-21.8388,27.3773,-10.4372,9.969,-0.7233,10.8189,0.556897477187332,-9.40296577534359
"MM455_48h_lacZ_Dox__200071760029_D_",-21.7668,29.202,-10.7959,10.5102,-1.3846,9.9768,0.560118089103596,-8.78699125765994
"MM603_24h_BRN2_Con__200071760029_E_",5.8176,-5.4498,1.46,-2.7383,3.4856,-6.2557,-0.41760601180891,7.66891840187785
"MM603_24h_BRN2_Dox__200071760029_F_",-6.566,-4.9804,-3.524,-3.8417,1.6109,-5.3081,-0.410628019323671,5.65591579105479
"MM603_24h_lacZ_Con__200071760029_G_",14.2074,-15.0119,5.8206,-7.0504,2.8398,-7.8704,-0.491411701556629,13.1843347281596
"MM603_24h_lacZ_Dox__200071760029_H_",14.7557,-15.5774,7.1454,-7.3816,2.0793,-7.0077,-0.500805152979066,13.528514133139
"MM603_48h_BRN2_Con__200071760029_I_",6.3684,-4.5274,1.9898,-2.7085,4.0387,-5.9222,-0.398282340311326,6.8854972202791
"MM603_48h_BRN2_Dox__200071760029_J_",-8.3843,3.0171,-6.0287,-1.2813,2.5117,-3.8094,-0.37037037037037,4.41620314953396
"MM603_48h_lacZ_Con__200071760029_K_",14.9461,-10.0091,7.4053,-7.6036,2.7837,-6.7244,-0.457058507783145,12.9229139997901
"MM603_48h_lacZ_Dox__200071760029_L_",15.6416,-14.2644,7.4578,-7.8982,2.4864,-7.0305,-0.500536768652711,12.9682299997228
