"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"COLO829_SKIN",0.0906,0.8974,3.341,-8.2996
"IPC298_SKIN",3.7997,-2.7692,0.6254,-9.328
"SKMEL24_SKIN",-5.1587,1.1987,7.9671,-5.4447
"K029AX_SKIN",5.5743,-2.0578,1.141,-7.59
"HS695T_SKIN",-6.5296,-2.1218,6.6379,-4.8748
"CHL1_SKIN",-4.3342,-1.3822,-0.2318,-4.5713
"SKMEL3_SKIN",4.1593,-3.3375,-0.4114,-9.3587
"HMCB_SKIN",-4.9303,-2.2071,1.4002,-4.1566
"MALME3M_SKIN",6.2525,-0.9187,3.064,-10.1385
"MELJUSO_SKIN",0.3217,-5.1613,3.7262,-7.1226
"SKMEL2_SKIN",2.5997,-2.4118,0.4197,-7.2146
"COLO679_SKIN",-0.4838,0.9906,-1.2119,-8.2167
"WM115_SKIN",-6.4756,-0.0578,10.5556,-7.6766
"COLO800_SKIN",-2.6734,0.6696,5.9141,-8.7292
"UACC62_SKIN",-4.0331,2.1831,3.2911,-7.7138
"A375_SKIN",-7.088,-3.7036,6.9136,-4.4608
"HS294T_SKIN",-3.4793,-2.0782,8.6755,-5.7685
"SKMEL5_SKIN",6.4036,-1.989,0.479,-7.8557
"HS944T_SKIN",-2.2632,-4.6704,6.1685,-1.7592
"WM2664_SKIN",-0.5723,3.9087,2.2382,-10.5915
"COLO849_SKIN",0.1,0.4827,3.2796,-6.7673
"LOXIMVI_SKIN",-5.3043,-5.6404,-3.3378,1.5954
"UACC257_SKIN",6.7937,0.0276,-2.5319,-8.1685
"IGR37_SKIN",7.6153,-4.656,-3.2494,-8.9219
"MELHO_SKIN",6.4971,-4.1739,-3.5758,-9.5154
"G361_SKIN",5.3269,-4.8593,-0.5607,-8.6491
"COLO741_SKIN",5.2011,-3.0718,-1.9062,-7.5117
"SKMEL30_SKIN",5.7684,-4.2477,-1.323,-8.4836
"C32_SKIN",-1.7606,2.7425,3.1673,-6.8013
"RVH421_SKIN",0.767,-0.6333,3.2542,-7.8947
"HS895T_SKIN",-4.7704,-2.9886,3.3172,4.1083
"HS940T_SKIN",-4.1051,-4.5195,3.7064,4.2044
"SKMEL1_SKIN",5.0889,-0.0339,-1.8331,-8.3241
"HS936T_SKIN",8.4675,-2.525,-4.0768,-8.755
"HT144_SKIN",-3.995,-0.6777,7.1971,-8.9547
"SKMEL31_SKIN",-3.324,4.311,7.0019,-6.0635
"HS839T_SKIN",-3.2562,-4.3149,1.9629,3.388
"HS939T_SKIN",1.6367,-1.778,4.947,-5.6208
"HS688AT_SKIN",-4.2995,-4.5708,2.3671,4.5401
"HS600T_SKIN",-3.3864,-2.757,3.4485,4.3918
"A101D_SKIN",-3.5332,-3.3985,8.2168,-6.6819
"HS852T_SKIN",-2.8927,-1.7125,5.511,-4.1529
"HS934T_SKIN",-3.3461,-3.5285,2.5826,3.9638
"RPMI7951_SKIN",-4.7946,-5.4634,3.3744,2.3197
"COLO783_SKIN",2.9504,-0.5869,2.8489,-8.5164
"COLO792_SKIN",4.5764,-3.6114,-1.5325,-7.1623
"WM983B_SKIN",0.5349,-3.0881,4.2379,-8.1204
"WM793_SKIN",-5.5343,-4.1402,8.6707,-0.4711
"MDAMB435S_SKIN",-4.716,-2.8396,3.2604,-2.5762
"WM1799_SKIN",-0.0337,1.8214,5.5981,-7.9507
"MEWO_SKIN",3.2438,-4.045,-1.9039,-9.1604
"WM88_SKIN",-3.2785,-0.1324,4.2913,-8.4808
"IGR1_SKIN",4.6692,-3.9513,1.4944,-6.3259
"IGR39_SKIN",-4.948,-5.6775,1.1585,4.2574
"COLO818_SKIN",-4.8615,0.5299,8.7058,-7.3101
"SKMEL28_SKIN",6.9502,-0.7438,-1.1391,-9.194
"SH4_SKIN",3.5468,-2.6733,-3.6319,-8.5895
"CJM_SKIN",-3.8802,-5.0111,-1.1469,4.2739
"A2058_SKIN",-4.2304,-2.8525,3.8483,-5.6777
