"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GSM4204503",-1.2451,2.4618,1.0669,4.8191,2.3086,1.3213,-3.6524
"GSM4204504",0.5539,4.3942,1.648,4.9542,0.4938,0.0169,-3.3081
"GSM4204505",2.7014,9.2342,0.2672,3.2845,0.1067,-2.8289,-5.7071
"GSM4204506",-1.1171,-2.1283,-0.5597,0.7673,0.7282,1.1338,1.7704
"GSM4204507",-0.0194,3.7714,-0.7187,3.4481,-0.2196,1.2032,-1.0936
"GSM4204508",4.543,7.1312,-3.5307,1.0333,-2.3663,-3.9458,-3.2391
"GSM4204509",1.6386,7.5157,0.5319,3.7002,1.621,-1.2125,-4.0919
"GSM4204510",4.5229,8.2492,1.1958,4.4919,2.5141,1.2319,-4.1899
"GSM4204511",1.9986,7.9426,2.7614,4.3775,2.1179,-0.0157,-1.9069
"GSM4204512",1.4132,8.0351,3.1298,5.9945,1.6643,0.163,-3.54
"GSM4204513",-1.9271,2.2334,2.1926,5.8802,4.722,2.7071,-4.6461
"GSM4204514",1.551,5.8934,1.7049,5.2243,0.0154,0.2808,-5.8807
"GSM4204515",2.3451,7.2842,-0.0676,3.55,-0.4328,-1.5113,-1.8008
"GSM4204516",1.8949,4.349,1.3555,2.0759,-0.5256,0.3967,1.2884
